// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f
// command took 2.58s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f
// command took 6.47s and exited with 0
// ***** Done, took 00:00:09 (9.23 sec)   *****
// Found 4 benchmarks:
//   QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.InsertSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.QuickSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.InsertSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)

// **************************
// Benchmark: QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ad3d6880-cd4e-4071-93ee-249f077d411f.dll" --benchmarkName "Oz.QuickVsInsertBenchmark.QuickSortWithSameValues" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VYTYSG(InvocationCount=1, UnrollFactor=1)

   at Oz.Algorithms.Numerics.ShuffledArray`1..ctor(T[] sourceArray) in D:\Development\OzWorks\Oz.Algorithms\Numerics\ShuffledArray.cs:line 16
   at Oz.QuickVsInsertBenchmark.QuickDifferentSetup() in D:\Development\OzWorks\Oz\QuickVsInsertBenchmark.cs:line 33
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_2.Run(IHost host, String benchmarkName) in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\ad3d6880-cd4e-4071-93ee-249f077d411f.notcs:line 1333
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\ad3d6880-cd4e-4071-93ee-249f077d411f.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 708 has exited with code -1
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: QuickVsInsertBenchmark.InsertSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ad3d6880-cd4e-4071-93ee-249f077d411f.dll" --benchmarkName "Oz.QuickVsInsertBenchmark.InsertSortWithDifferentValues" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 3 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-JTTMPT(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 442100.00 ns, 442.1000 us/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.ArgumentOutOfRangeException: 'minValue' cannot be greater than maxValue. (Parameter 'minValue')
   at System.Random.Next(Int32 minValue, Int32 maxValue)
   at Oz.Algorithms.DefaultRandomSource.RandomValue(Int32 minValue, Int32 maxValue) in D:\Development\OzWorks\Oz.Algorithms\DefaultRandomSource.cs:line 27
   at Oz.Algorithms.Numerics.ShuffledArray`1.FillPriorities() in D:\Development\OzWorks\Oz.Algorithms\Numerics\ShuffledArray.cs:line 48
   at Oz.Algorithms.Numerics.ShuffledArray`1..ctor(T[] sourceArray, IRandomSource randomSource) in D:\Development\OzWorks\Oz.Algorithms\Numerics\ShuffledArray.cs:line 24
   at Oz.Algorithms.Numerics.ShuffledArray`1..ctor(T[] sourceArray) in D:\Development\OzWorks\Oz.Algorithms\Numerics\ShuffledArray.cs:line 16
   at Oz.QuickVsInsertBenchmark.InsertDifferentSetup() in D:\Development\OzWorks\Oz\QuickVsInsertBenchmark.cs:line 43
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host, String benchmarkName) in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\ad3d6880-cd4e-4071-93ee-249f077d411f.notcs:line 1916
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\ad3d6880-cd4e-4071-93ee-249f077d411f.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 18960 has exited with code -1
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\Oz.QuickVsInsertBenchmark-report.csv
  BenchmarkDotNet.Artifacts\results\Oz.QuickVsInsertBenchmark-report-github.md
  BenchmarkDotNet.Artifacts\results\Oz.QuickVsInsertBenchmark-report.html

// * Detailed results *
QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
Runtime = .NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT; GC = Concurrent Workstation
Mean = 883.737 ms, StdErr = 1.035 ms (0.12%), N = 13, StdDev = 3.732 ms
Min = 879.012 ms, Q1 = 880.383 ms, Median = 882.839 ms, Q3 = 886.200 ms, Max = 890.946 ms
IQR = 5.817 ms, LowerFence = 871.657 ms, UpperFence = 894.926 ms
ConfidenceInterval = [879.268 ms; 888.206 ms] (CI 99.9%), Margin = 4.469 ms (0.51% of Mean)
Skewness = 0.44, Kurtosis = 1.9, MValue = 2
-------------------- Histogram --------------------
[876.929 ms ; 893.029 ms) | @@@@@@@@@@@@@
---------------------------------------------------

QuickVsInsertBenchmark.InsertSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
Runtime = .NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT; GC = Concurrent Workstation
Mean = 181.393 μs, StdErr = 3.933 μs (2.17%), N = 91, StdDev = 37.523 μs
Min = 122.300 μs, Q1 = 168.600 μs, Median = 173.000 μs, Q3 = 203.350 μs, Max = 280.000 μs
IQR = 34.750 μs, LowerFence = 116.475 μs, UpperFence = 255.475 μs
ConfidenceInterval = [168.012 μs; 194.775 μs] (CI 99.9%), Margin = 13.381 μs (7.38% of Mean)
Skewness = 0.55, Kurtosis = 3.09, MValue = 3.17
-------------------- Histogram --------------------
[119.151 μs ; 141.049 μs) | @@@@@@@@@@@@@@@@
[141.049 μs ; 162.947 μs) | 
[162.947 μs ; 189.849 μs) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[189.849 μs ; 201.101 μs) | @@
[201.101 μs ; 222.999 μs) | @@@@@@@@@@@@
[222.999 μs ; 234.251 μs) | @
[234.251 μs ; 256.149 μs) | @@@@@@@
[256.149 μs ; 282.199 μs) | @@@@
---------------------------------------------------

QuickVsInsertBenchmark.QuickSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
Runtime = ; GC = 
There are not any results runs

QuickVsInsertBenchmark.InsertSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.19041.630 (2004/?/20H1)
Intel Core i3-7100U CPU 2.40GHz (Kaby Lake), 1 CPU, 4 logical and 2 physical cores
.NET Core SDK=5.0.100
  [Host]     : .NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT DEBUG
  Job-EJIXGU : .NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT

InvocationCount=1  UnrollFactor=1  

|                        Method |         Mean |       Error |      StdDev |
|------------------------------ |-------------:|------------:|------------:|
|       QuickSortWithSameValues | 883,737.3 μs | 4,468.87 μs | 3,731.71 μs |
|      InsertSortWithSameValues |     181.4 μs |    13.38 μs |    37.52 μs |
|  QuickSortWithDifferentValues |           NA |          NA |          NA |
| InsertSortWithDifferentValues |           NA |          NA |          NA |

Benchmarks with issues:
  QuickVsInsertBenchmark.QuickSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
  QuickVsInsertBenchmark.InsertSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)

// * Warnings *
MinIterationTime
  QuickVsInsertBenchmark.InsertSortWithSameValues: InvocationCount=1, UnrollFactor=1 -> The minimum observed iteration time is 122.9000 μs which is very small. It's recommended to increase it to at least 100.0000 ms using more operations.
MultimodalDistribution
  QuickVsInsertBenchmark.InsertSortWithSameValues: InvocationCount=1, UnrollFactor=1 -> It seems that the distribution can have several modes (mValue = 3.17)
Environment
  QuickVsInsertBenchmark.QuickSortWithSameValues: InvocationCount=1, UnrollFactor=1 -> Benchmark was built without optimization enabled (most probably a DEBUG configuration). Please, build it in RELEASE.

// * Hints *
Outliers
  QuickVsInsertBenchmark.QuickSortWithSameValues: InvocationCount=1, UnrollFactor=1  -> 2 outliers were removed (899.91 ms, 902.25 ms)
  QuickVsInsertBenchmark.InsertSortWithSameValues: InvocationCount=1, UnrollFactor=1 -> 9 outliers were removed (290.80 μs..522.90 μs)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:23 (23.95 sec), executed benchmarks: 4

Global total time: 00:00:33 (33.2 sec), executed benchmarks: 4
// * Artifacts cleanup *
